"date","Reserva internacional","Activo internacional total"
2020-02-01,184249.6,188438.1
2020-03-01,185528.8,189811.5
2020-04-01,186655.4,196177.4
2020-05-01,187315.6,197431.9
2020-06-01,189615.2,197052.1
2020-07-01,192605.6,197890.8
2020-08-01,193334.1,198638.8
2020-09-01,193956.6,199812.7
2020-10-01,194351.1,198717.7
2020-11-01,194286.7,201285.6
2020-12-01,195667.2,199052.3
2021-01-01,195946.1,203182
2021-02-01,195269.5,200215.8
2021-03-01,194774.2,199298.1
2021-04-01,195267.6,201895.4
2021-05-01,194097.1,200114.5
2021-06-01,192881.9,199454.4
2021-07-01,193423.8,200462.4
2021-08-01,205512.5,211667.7
2021-09-01,198414.4,211996.9
2021-10-01,198850.4,211584.7
2021-11-01,199501.9,212754.5
2021-12-01,202399.2,207738.8
2022-01-01,201637.7,209722.7
2022-02-01,201676.4,209998.5
2022-03-01,200806.5,209566.8
2022-04-01,199174.6,207091.1
2022-05-01,199503.9,206027.4
2022-06-01,198537,203564.8
2022-07-01,199479.8,203515
2022-08-01,198529.3,205080.7
2022-09-01,196917.5,202081.5
2022-10-01,196847.1,201176.2
2022-11-01,198240.5,202201.8
2022-12-01,199094.2,201066
2023-01-01,200997.9,206237.2
2023-02-01,200178.3,204643.3
2023-03-01,202337.6,206216.1
2023-04-01,203104.1,207592.9
2023-05-01,202663.7,207405.6
2023-06-01,203209.3,210324.4
2023-07-01,204071.4,211094.7
2023-08-01,204238.5,210321.4
2023-09-01,203767.6,209507.9
2023-10-01,204403.2,208850.3
2023-11-01,206839.2,210744.6
2023-12-01,212761.9,214300
2024-01-01,213315.9,221844.4
2024-02-01,213722.1,219477
2024-03-01,217193.8,219403.3
2024-04-01,217189.8,221318.8
2024-05-01,218726.3,222709.4
2024-06-01,219996.9,225766
2024-07-01,222348.3,226451.9
2024-08-01,224777.9,230687.8
2024-09-01,226724.3,231763.7
2024-10-01,226096.1,230328
2024-11-01,228392.2,232110
2024-12-01,228989.6,231961.4
